JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus Pilihan,X1,X2,X3,X5,X6,X7,X8,X9,XT
0,1,361,19,6,9,25,166,79.25,0,10.0,9.9,1.0,9.9,9.9,9.9,9.9,9.4,69.9
1,1,663,37,6,25,10,112,80.99,0,10.0,10.1,1.0,10.1,10.1,10.1,10.1,7.5,69.1
1,1,631,93,6,10,8,50,81.31,0,10.0,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.1
0,0,245,61,6,0,10,256,86.9,1,11.0,10.9,1.0,10.9,10.9,10.9,10.9,10.6,75.9
1,0,719,61,6,25,15,13,85.98,0,10.0,10.7,1.0,10.7,10.7,10.7,10.7,10.6,75.4
0,1,631,93,6,4,8,50,80.8,0,10.0,10.1,1.0,10.1,10.1,10.1,10.1,11.3,72.7
0,1,471,19,6,17,22,126,82.91,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,9.4,72.7
0,1,746,17,7,9,28,45,86.35,0,10.5,10.8,1.0,10.8,10.8,10.8,10.8,7.5,73.0
1,1,444,19,6,9,3,240,89.94,1,11.3,11.2,1.0,11.2,11.2,11.2,11.2,9.4,77.9
1,0,439,93,6,10,0,184,84.62,2,10.7,10.6,1.0,10.6,10.6,10.6,10.6,11.3,74.8
0,0,736,93,6,9,7,106,82.52,0,10.6,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.4
0,1,374,19,6,13,9,255,86.07,0,10.9,10.8,1.0,10.8,10.8,10.8,10.8,9.4,75.1
0,1,361,19,6,27,10,166,83.05,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,9.4,72.7
0,1,480,93,6,21,9,149,82.54,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.2
0,0,652,19,6,10,27,160,82.49,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,9.4,72.3
0,1,195,61,6,21,6,126,81.98,2,10.4,10.2,1.0,10.2,10.2,10.2,10.2,10.6,73.3
1,0,642,65,6,21,25,70,82.66,0,10.4,10.3,1.1,10.3,10.3,10.3,10.3,10.0,73.1
0,0,439,93,6,0,25,184,82.89,1,10.5,10.4,1.0,10.4,10.4,10.4,10.4,11.3,73.6
1,0,480,93,6,10,1,149,80.46,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,11.3,71.7
1,0,28,93,6,10,28,34,79.42,0,10.0,9.9,1.0,9.9,9.9,9.9,9.9,11.3,71.9
0,1,719,61,6,15,4,13,85.82,0,10.0,10.7,1.0,10.7,10.7,10.7,10.7,10.6,75.3
1,0,439,93,6,0,17,177,82.93,1,10.4,10.4,1.0,10.4,10.4,10.4,10.4,11.3,73.5
1,0,602,93,6,0,10,125,83.2,1,10.6,10.4,1.0,10.4,10.4,10.4,10.4,11.3,73.8
0,0,245,61,6,4,0,256,85.8,2,10.8,10.7,1.0,10.7,10.7,10.7,10.7,10.6,75.1
1,0,723,61,6,4,10,14,90.56,1,10.9,11.3,1.0,11.3,11.3,11.3,11.3,10.6,79.1
0,0,424,35,2,9,11,128,83.37,0,10.7,10.4,1.0,10.4,10.4,10.4,10.4,7.5,71.3
0,0,195,61,6,4,10,126,79.11,0,10.1,9.9,1.0,9.9,9.9,9.9,9.9,10.6,71.1
0,0,34,61,6,10,5,160,83.69,0,10.7,10.5,1.0,10.5,10.5,10.5,10.5,10.6,74.6
0,1,719,61,6,4,21,13,87.79,0,10.7,11.0,1.0,11.0,11.0,11.0,11.0,10.6,77.2
0,0,455,93,6,9,21,268,81.66,0,10.5,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.8
0,0,480,93,6,10,5,132,81.94,0,10.3,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.8
0,1,361,19,6,8,9,166,79.18,0,10.0,9.9,1.0,9.9,9.9,9.9,9.9,9.4,69.8
0,0,569,61,6,10,6,46,83.92,0,10.6,10.5,1.0,10.5,10.5,10.5,10.5,10.6,74.7
0,0,776,15,6,0,2,66,89.34,1,11.3,11.2,1.0,11.2,11.2,11.2,11.2,10.0,78.1
0,0,455,93,6,21,25,268,82.5,0,10.6,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.4
1,0,28,93,6,10,28,34,79.95,0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,11.3,72.2
0,0,574,61,6,21,4,20,85.85,1,10.8,10.7,1.0,10.7,10.7,10.7,10.7,10.6,76.0
0,0,471,19,6,20,11,126,82.94,1,10.4,10.4,1.0,10.4,10.4,10.4,10.4,9.4,72.7
0,1,204,61,6,6,10,76,83.98,0,10.4,10.5,1.0,10.5,10.5,10.5,10.5,10.6,74.6
0,0,659,30,6,1,10,92,82.6,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,7.5,69.6
0,0,480,93,6,10,28,132,81.67,0,10.4,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.6
1,0,254,52,2,25,13,90,79.69,0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,7.5,68.3
0,1,41,70,6,3,9,82,80.4,0,10.1,10.1,1.0,10.1,10.1,10.1,10.1,7.5,68.9
1,0,281,57,6,1,3,71,77.77,0,9.8,9.7,1.0,9.7,9.7,9.7,9.7,7.5,66.9
1,0,52,15,6,10,8,50,80.34,0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,71.2
